"Don't have an account with us?","Don't have an account with us?"
"Register today!","Register today!"
"Sign up now","Sign up now"
"Shop By","Shop By"
"Clear All","Clear All"
"Shopping Options","Shopping Options"
"Filter by","Filter by"
"Sign up to get the latest","Sign up to get the latest"
"Promotions and Deals","Promotions and Deals"
"Post Code","Post Code"
Subscribe,Subscribe
"Subscribe Me","Subscribe Me"
"Product Reviews","Product Reviews"
Created,Created
Rating,Rating
Review,Review
"See Details","See Details"
"You have submitted no reviews.","You have submitted no reviews."
"Leave a Review","Leave a Review"
Reviews,Reviews
"Rate it:","Rate it:"
"%1 %2","%1 %2"
"Minimum length: 20 characters","Minimum length: 20 characters"
"Submit a Review","Submit a Review"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Was this review helpful to you?","Was this review helpful to you?"
Yes,Yes
No,No
"Reviews ","Reviews "
"see what others think","see what others think"
"Write a review","Write a review"
"Recent Orders","Recent Orders"
"View All","View All"
"Order #","Order #"
Date,Date
"Ship To","Ship To"
Total,Total
Status,Status
Action,Action
"View Order","View Order"
Reorder,Reorder
"You have placed no orders.","You have placed no orders."
Search,Search
"Search Entire Store","Search Entire Store"
"ITEM HAS BEEN ADDED TO YOUR CART","ITEM HAS BEEN ADDED TO YOUR CART"
"Continue shopping","Continue shopping"
"View cart & checkout","View cart & checkout"
"ITEM HAS BEEN ADDED TO YOUR QUOTE","ITEM HAS BEEN ADDED TO YOUR QUOTE"
"View quote","View quote"
"Hello. ","Hello. "
"Sign In","Sign In"
"Your Account","Your Account"
"Sign Out","Sign Out"
"Your Orders","Your Orders"
"My Cart","My Cart"
Close,Close
items,items
"Recently added item(s)","Recently added item(s)"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Go to Checkout","Go to Checkout"
"View and edit cart","View and edit cart"
"Options Details","Options Details"
Update,Update
Remove,Remove
Adding...,Adding...
Added,Added
"Minimum length is 20 characters","Minimum length is 20 characters"
"Request for Quote","Request for Quote"
"Shipping Address","Shipping Address"
"Save Address","Save Address"
Cancel,Cancel
"We'll send your order confirmation here.","We'll send your order confirmation here."
"For delivery questions.","For delivery questions."
Payment,Payment
"Cart Subtotal","Cart Subtotal"
Shipping,Shipping
"Not yet calculated","Not yet calculated"
"Order Total","Order Total"
"My Account","My Account"
"Account Dashboard","Account Dashboard"
"Account Information","Account Information"
"Address Book","Address Book"
"My Dashboard","My Dashboard"
"Add to Cart","Add to Quote",
"Cart","Quote"
